seq_name,time_anno,ann_frames,vid_frames,dataset,split
18913cc690,"{'1': [[0, 18]]}",19,91,ytvos,train
20142b2f05,"{'1': [[0, 35]]}",36,180,ytvos,train
21386f5978,{},19,92,ytvos,train
23993ce90d,"{'1': [[8, 15], [21, 24], [30, 35]]}",36,180,ytvos,train
33639a2847,"{'1': [[8, 35]]}",36,180,ytvos,train
34370a710f,"{'1': [[0, 18]]}",19,92,ytvos,train
35195a56a1,"{'1': [[0, 29]]}",30,150,ytvos,train
36299c687c,"{'1': [[0, 19]]}",20,96,ytvos,train
45636d806a,{},36,180,ytvos,train
46630b55ae,"{'1': [[0, 11]], '2': [[0, 11]]}",12,56,ytvos,train
50568fbcfb,"{'1': [[0, 35]]}",36,180,ytvos,train
52355da42f,"{'1': [[3, 19]]}",20,96,ytvos,train
57246af7d1,{},19,91,ytvos,train
58163c37cd,"{'1': [[0, 29]], '2': [[0, 29]], '3': [[0, 29]]}",30,150,ytvos,train
64750b825f,"{'1': [[3, 5], [14, 17]]}",36,180,ytvos,train
67741db50a,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
68807d8601,"{'1': [[0, 19]]}",20,96,ytvos,train
69023db81f,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
69340faa52,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
69491c0ebf,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
74267f68b9,"{'1': [[0, 18]]}",19,91,ytvos,train
75172d4ac8,"{'1': [[0, 19]]}",20,96,ytvos,train
75285a7eb1,"{'1': [[0, 35]]}",36,180,ytvos,train
075926c651,"{'1': [[0, 17]]}",18,87,ytvos,train
76693db153,{},11,51,ytvos,train
77920f1708,"{'1': [[3, 29]]}",30,150,ytvos,train
83424c9fbf,"{'1': [[0, 13], [20, 35]]}",36,180,ytvos,train
90617b0954,"{'1': [[0, 18]]}",19,92,ytvos,train
94091a4873,"{'1': [[10, 12], [19, 27], [33, 35]]}",36,180,ytvos,train
96825c4714,"{'1': [[0, 16]], '2': [[0, 16]], '3': [[0, 16]]}",17,81,ytvos,train
97659ed431,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
97756b264f,"{'1': [[4, 19]]}",20,96,ytvos,train
203594a418,"{'1': [[0, 35]]}",36,180,ytvos,train
208833d1d1,"{'1': [[0, 35]]}",36,180,ytvos,train
0248626d9a,"{'1': [[0, 18]]}",19,91,ytvos,train
402680df52,"{'1': [[0, 35]]}",36,180,ytvos,train
525928f46f,"{'3': [[0, 19]], '1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
594065ddd7,{},20,96,ytvos,train
621584cffe,"{'3': [[30, 35]], '2': [[0, 10], [13, 35]], '1': [[0, 10], [13, 35]]}",36,180,ytvos,train
634058dda0,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
637681cd6b,"{'1': [[0, 35]]}",36,180,ytvos,train
651066ed39,"{'1': [[0, 35]]}",36,180,ytvos,train
653821d680,"{'1': [[0, 35]]}",36,180,ytvos,train
708535b72a,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
715357be94,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
722803f4f2,"{'1': [[0, 18]]}",19,92,ytvos,train
733824d431,"{'1': [[0, 29]]}",30,150,ytvos,train
0738493cbf,"{'1': [[0, 17]]}",18,87,ytvos,train
827171a845,"{'1': [[0, 35]]}",36,180,ytvos,train
859633d56a,"{'1': [[13, 19]], '2': [[7, 19]]}",20,96,ytvos,train
920329dd5e,"{'1': [[0, 35]]}",36,180,ytvos,train
923137bb7f,"{'1': [[0, 12]], '2': [[0, 12]]}",13,61,ytvos,train
952058e2d0,"{'1': [[0, 18]]}",19,92,ytvos,train
1705796b02,"{'1': [[0, 19]]}",20,96,ytvos,train
3373891cdc,"{'1': [[0, 35]]}",36,180,ytvos,train
3735480d18,"{'1': [[0, 35]]}",36,180,ytvos,train
04474174a4,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
6057307f6e,"{'1': [[11, 18]], '2': [[0, 14]], '3': [[0, 35]]}",36,180,ytvos,train
6671643f31,"{'1': [[0, 35]]}",36,180,ytvos,train
6893778c77,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
7435690c8c,"{'1': [[0, 9]], '2': [[0, 9]], '3': [[0, 9]]}",10,46,ytvos,train
8175486e6a,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
8666521b13,"{'1': [[0, 15]], '2': [[0, 15]]}",16,76,ytvos,train
8749369ba0,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
9359174efc,"{'1': [[8, 12], [16, 17]]}",36,180,ytvos,train
15617297cc,"{'1': [[0, 35]]}",36,180,ytvos,train
17622326fd,"{'1': [[9, 12], [25, 35]]}",36,180,ytvos,train
35573455c7,{},20,96,ytvos,train
40709263a8,{},17,81,ytvos,train
42264230ba,{},20,96,ytvos,train
53143511e8,"{'1': [[0, 35]]}",36,180,ytvos,train
57427393e9,{},20,96,ytvos,train
59323787d5,"{'1': [[0, 29]]}",30,150,ytvos,train
66852243cb,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
77610860e0,"{'1': [[0, 11]], '2': [[0, 11]], '3': [[0, 11]]}",12,56,ytvos,train
079049275c,"{'1': [[15, 23]]}",29,144,ytvos,train
84752191a3,"{'1': [[0, 18]]}",19,91,ytvos,train
89379487e0,"{'1': [[0, 19]]}",20,96,ytvos,train
93901858ee,"{'1': [[0, 29]]}",30,150,ytvos,train
0274193026,"{'1': [[0, 28]], '2': [[0, 28]]}",29,144,ytvos,train
279214115d,"{'1': [[8, 10], [25, 35]]}",36,180,ytvos,train
579393912d,"{'1': [[0, 35]]}",36,180,ytvos,train
0693719753,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
839381063f,"{'1': [[0, 18]]}",19,91,ytvos,train
916942666f,"{'1': [[9, 15]]}",16,76,ytvos,train
0990941758,"{'1': [[0, 35]]}",36,180,ytvos,train
3649228783,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
4523656564,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
6419386729,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
8193671178,"{'1': [[0, 35]]}",36,180,ytvos,train
8200245704,"{'1': [[0, 8]], '2': [[0, 8]]}",9,41,ytvos,train
9108130458,"{'1': [[0, 29]]}",30,150,ytvos,train
9418653742,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
a0b208fe2e,"{'1': [[0, 18]], '2': [[7, 18]]}",19,91,ytvos,train
a0bc6c611d,"{'1': [[0, 35]]}",36,180,ytvos,train
a1aaf63216,{},20,96,ytvos,train
a2bdaff3b0,"{'1': [[0, 18]]}",19,91,ytvos,train
a2c146ab0d,"{'1': [[0, 18]]}",19,91,ytvos,train
a3f2878017,"{'1': [[0, 35]]}",36,180,ytvos,train
a4ba7753d9,"{'1': [[0, 35]]}",36,180,ytvos,train
a4bac06849,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
a5b5b59139,"{'1': [[0, 19]], '2': [[16, 19]]}",20,96,ytvos,train
a5c2b2c3e1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
a5da03aef1,"{'1': [[0, 35]]}",36,180,ytvos,train
a6bc36937f,{},19,91,ytvos,train
a6c3a374e9,"{'1': [[0, 10], [15, 35]]}",36,180,ytvos,train
a7e6d6c29a,{},20,96,ytvos,train
a8f78125b9,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
a18ad065fc,"{'1': [[0, 29]]}",30,150,ytvos,train
a29bfc29ec,"{'1': [[0, 18]]}",19,91,ytvos,train
a34f440f33,"{'1': [[0, 14], [22, 35]], '2': [[0, 35]], '3': [[0, 35]]}",36,180,ytvos,train
a35e0206da,"{'1': [[0, 35]]}",36,180,ytvos,train
a39a0eb433,"{'1': [[0, 18]]}",19,91,ytvos,train
a48c53c454,"{'1': [[26, 35]], '2': [[0, 35]]}",36,180,ytvos,train
a61cf4389d,"{'1': [[0, 10], [14, 29]]}",30,150,ytvos,train
a65bd23cb5,"{'1': [[0, 29]]}",30,150,ytvos,train
a066e739c1,"{'1': [[0, 29]]}",30,150,ytvos,train
a0071ae316,"{'1': [[0, 19]]}",20,96,ytvos,train
a83d06410d,"{'2': [[0, 29]], '3': [[0, 29]], '4': [[0, 29]], '1': [[11, 29]]}",30,150,ytvos,train
a99bdd0079,"{'1': [[0, 28]]}",29,144,ytvos,train
a522b1aa79,"{'1': [[0, 2], [6, 13]]}",20,96,ytvos,train
a653d5c23b,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
a832fa8790,"{'1': [[0, 35]]}",36,180,ytvos,train
a907b18df1,"{'1': [[3, 29]]}",30,150,ytvos,train
a984e56893,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
a1193d6490,"{'1': [[0, 19]]}",20,96,ytvos,train
a7392d4438,{},30,150,ytvos,train
a38950ebc2,"{'1': [[0, 35]]}",36,180,ytvos,train
a61715bb1b,"{'1': [[3, 17]]}",36,180,ytvos,train
a78758d4ce,"{'1': [[2, 35]]}",36,180,ytvos,train
a301869dea,{},36,180,ytvos,train
a590915345,"{'1': [[0, 35]]}",36,180,ytvos,train
aa07b7c1c0,"{'1': [[0, 25]]}",36,180,ytvos,train
aa45f1caaf,"{'1': [[0, 18]]}",19,91,ytvos,train
aa49e46432,"{'1': [[0, 19]]}",20,96,ytvos,train
aa175e5ec7,"{'1': [[2, 19]]}",20,96,ytvos,train
aa85278334,"{'2': [[0, 19]], '1': [[8, 14]]}",20,96,ytvos,train
aaba004362,"{'1': [[0, 35]], '2': [[0, 1], [3, 11], [15, 35]]}",36,180,ytvos,train
aaff16c2db,"{'1': [[0, 19]]}",20,96,ytvos,train
ab2e1b5577,"{'1': [[9, 20], [29, 35]], '2': [[0, 35]]}",36,180,ytvos,train
ab23b78715,"{'1': [[0, 19]]}",20,96,ytvos,train
ab33a18ded,"{'1': [[0, 19]]}",20,96,ytvos,train
ab90f0d24b,"{'1': [[16, 19], [21, 24]]}",36,180,ytvos,train
abbe2d15a0,"{'3': [[23, 35]], '1': [[31, 35]], '2': [[31, 35]], '4': [[31, 35]]}",36,180,ytvos,train
abe61a11bb,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
abeae8ce21,"{'1': [[0, 29]]}",30,150,ytvos,train
acf2c4b745,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
acf736a27b,"{'1': [[0, 17]]}",18,90,ytvos,train
ad3fada9d9,"{'1': [[0, 35]]}",36,180,ytvos,train
ad573f7d31,"{'1': [[0, 19]], '2': [[3, 7]]}",20,96,ytvos,train
ad54468654,"{'1': [[0, 13]], '2': [[0, 13]], '3': [[12, 13]]}",14,66,ytvos,train
adabbd1cc4,"{'1': [[0, 35]]}",36,180,ytvos,train
adc648f890,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
add21ee467,"{'1': [[0, 35]]}",36,180,ytvos,train
adfd15ceef,"{'1': [[2, 3], [9, 12], [30, 35]]}",36,180,ytvos,train
ae9cd16dbf,{},10,46,ytvos,train
ae20d09dea,{},36,180,ytvos,train
ae628f2cd4,"{'1': [[5, 29]]}",30,150,ytvos,train
ae8545d581,"{'1': [[0, 17]], '2': [[0, 17]]}",18,86,ytvos,train
aebb242b5c,"{'1': [[8, 18]]}",30,150,ytvos,train
aed4e0b4c4,"{'1': [[0, 17]]}",18,86,ytvos,train
aedd71f125,"{'1': [[0, 26]]}",36,180,ytvos,train
b0a68228dc,"{'2': [[1, 18]], '1': [[0, 18]]}",19,92,ytvos,train
b0b0731606,"{'1': [[0, 19]]}",20,96,ytvos,train
b0c7f11f9f,"{'2': [[0, 35]], '1': [[0, 4], [11, 35]]}",36,180,ytvos,train
b0df7c5c5c,"{'1': [[0, 19]]}",20,96,ytvos,train
b1d7c03927,"{'1': [[0, 18]], '2': [[5, 18]]}",19,91,ytvos,train
b1d7fe2753,"{'1': [[0, 4], [7, 9], [12, 13], [15, 28], [32, 33]]}",36,180,ytvos,train
b1fc9c64e1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b3dde1e1e9,"{'1': [[0, 31]]}",36,180,ytvos,train
b4eaea9e6b,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
b05ad0d345,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
b5eb64d419,"{'1': [[0, 18]]}",19,91,ytvos,train
b5f1c0c96a,"{'1': [[0, 19]]}",20,96,ytvos,train
b06f5888e6,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
b6b4738b78,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b6d65a9eef,"{'1': [[0, 9], [18, 35]]}",36,180,ytvos,train
b6ec609f7b,"{'1': [[5, 32]]}",33,163,ytvos,train
b7a2c2c83c,{},20,96,ytvos,train
b8c03d1091,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
b8f34cf72e,"{'2': [[0, 18]], '1': [[0, 18]]}",19,91,ytvos,train
b9d3b92169,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
b9f43ef41e,"{'1': [[0, 18]]}",19,92,ytvos,train
b19c561fab,"{'1': [[0, 35]]}",36,180,ytvos,train
b24af1c35c,"{'1': [[0, 35]]}",36,180,ytvos,train
b24fe36b2a,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
b37c01396e,"{'1': [[0, 18], [25, 31]]}",36,180,ytvos,train
b40b25055c,"{'1': [[3, 18]], '2': [[0, 11]]}",19,91,ytvos,train
b50f4b90d5,"{'1': [[0, 35]]}",36,180,ytvos,train
b68fc1b217,{},36,180,ytvos,train
b70d231781,"{'1': [[0, 18]]}",19,92,ytvos,train
b76df6e059,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b82e5ad1c9,"{'1': [[0, 18]]}",19,91,ytvos,train
b86c17caa6,"{'1': [[0, 5], [17, 35]]}",36,180,ytvos,train
b87d56925a,"{'1': [[0, 19]]}",20,96,ytvos,train
b132a53086,{},19,91,ytvos,train
b179c4a82d,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b190b1aa65,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b241e95235,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
b372a82edf,"{'1': [[0, 29]]}",30,150,ytvos,train
b379ab4ff5,"{'1': [[0, 9]], '2': [[0, 9]]}",10,46,ytvos,train
b382b09e25,"{'1': [[0, 29]]}",30,150,ytvos,train
b573c0677a,"{'1': [[0, 14], [26, 35]]}",36,180,ytvos,train
b673e7dcfb,"{'1': [[0, 19]]}",20,96,ytvos,train
b841cfb932,"{'1': [[0, 19]]}",20,96,ytvos,train
b938d79dff,{},4,20,ytvos,train
b2432ae86d,"{'1': [[0, 35]]}",36,180,ytvos,train
b5943b18ab,"{'1': [[0, 35]]}",36,180,ytvos,train
b6070de1bb,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
b11099eb09,"{'1': [[0, 35]]}",36,180,ytvos,train
b54278cd43,"{'1': [[0, 35]]}",36,180,ytvos,train
b73867d769,"{'1': [[0, 29]]}",30,150,ytvos,train
b93963f214,"{'1': [[0, 35]]}",36,180,ytvos,train
b274456ce1,"{'1': [[0, 35]]}",36,180,ytvos,train
ba3fcd417d,"{'1': [[3, 8], [11, 20]]}",36,180,ytvos,train
ba795f3089,"{'1': [[0, 19]]}",20,96,ytvos,train
ba98512f97,"{'1': [[0, 18]]}",19,92,ytvos,train
baff40d29d,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
bb1b0ee89f,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
bbd31510cf,"{'1': [[0, 19]]}",20,96,ytvos,train
bc4f71372d,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
bc141b9ad5,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
bcc5d8095e,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
bd0d849da4,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
bd0e9ed437,"{'1': [[0, 29]]}",30,150,ytvos,train
bd3ec46511,"{'1': [[0, 18]]}",19,91,ytvos,train
bd7e02b139,"{'1': [[11, 19]], '2': [[4, 19]]}",20,96,ytvos,train
bd321d2be6,{},13,61,ytvos,train
bda4a82837,"{'1': [[5, 19]], '2': [[0, 19]]}",20,96,ytvos,train
bda224cb25,"{'1': [[0, 18]]}",19,91,ytvos,train
bdccd69dde,"{'1': [[0, 19]]}",20,96,ytvos,train
be3e3cffbd,"{'1': [[0, 2], [6, 10]]}",11,51,ytvos,train
be5d1d89a0,"{'1': [[0, 35]], '2': [[0, 11], [18, 35]]}",36,180,ytvos,train
be9b29e08e,"{'1': [[0, 18]]}",19,91,ytvos,train
be15e18f1e,"{'1': [[0, 29]]}",30,150,ytvos,train
be376082d0,"{'1': [[0, 29]]}",30,150,ytvos,train
beeb8a3f92,"{'1': [[7, 29]], '2': [[12, 15]]}",30,150,ytvos,train
bf8d0f5ada,"{'1': [[10, 12], [18, 19]]}",20,96,ytvos,train
bf2232b58d,"{'1': [[0, 19]], '2': [[8, 19]]}",20,96,ytvos,train
bf5374f122,{},36,180,ytvos,train
bf443804e8,"{'1': [[0, 6], [18, 21], [25, 27]], '2': [[0, 35]], '3': [[0, 29]]}",36,180,ytvos,train
bf961167a6,"{'1': [[0, 18]]}",19,92,ytvos,train
bf28751739,"{'1': [[0, 29]]}",30,150,ytvos,train
bfd91d0742,"{'1': [[0, 13]]}",30,150,ytvos,train
bfe262322f,"{'1': [[0, 17]]}",18,87,ytvos,train
c0e8d4635c,"{'1': [[2, 19]]}",20,96,ytvos,train
c0e973ad85,"{'1': [[0, 19]], '2': [[0, 7]]}",20,96,ytvos,train
c2a35c1cda,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
c2b62567c1,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
c2be6900f2,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
c3b3d82e6c,"{'2': [[7, 16]], '1': [[1, 4]]}",36,180,ytvos,train
c3c760b015,"{'1': [[0, 19]]}",20,96,ytvos,train
c3dd38bf98,"{'1': [[0, 29]]}",30,150,ytvos,train
c4f5b1ddcc,"{'1': [[0, 35]]}",36,180,ytvos,train
c4f256f5d5,"{'1': [[10, 13]], '2': [[0, 20]], '3': [[2, 21]], '4': [[2, 19]]}",29,144,ytvos,train
c5ab1f09c8,{},36,180,ytvos,train
c6a12c131f,"{'1': [[0, 10]], '2': [[0, 10]]}",11,51,ytvos,train
c6e55c33f0,"{'1': [[0, 19]]}",20,96,ytvos,train
c8ab107dd5,"{'1': [[0, 19]]}",20,97,ytvos,train
c8c8b28781,"{'2': [[0, 35]], '1': [[0, 21], [31, 35]]}",36,180,ytvos,train
c8d79e3163,"{'1': [[0, 35]], '2': [[0, 35]], '3': [[0, 35]], '4': [[0, 4], [12, 30]]}",36,180,ytvos,train
c8f494f416,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
c9bf64e965,"{'1': [[4, 10]], '2': [[4, 19]]}",20,96,ytvos,train
c9d1c60cd0,"{'1': [[0, 28]]}",29,144,ytvos,train
c10d07c90d,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
c20fd5e597,"{'2': [[1, 6], [10, 35]], '1': [[0, 4], [7, 35]]}",36,180,ytvos,train
c26f7b5824,"{'1': [[0, 10], [20, 24], [29, 35]]}",36,180,ytvos,train
c30a7b62c9,"{'1': [[0, 18]]}",19,92,ytvos,train
c31fa6c598,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
c35e4fa6c4,"{'1': [[4, 35]]}",36,180,ytvos,train
c47d551843,"{'1': [[6, 18]]}",36,180,ytvos,train
c52bce43db,"{'1': [[0, 13]], '2': [[0, 13]], '3': [[0, 13]]}",14,66,ytvos,train
c70f9be8c5,"{'1': [[0, 17]], '2': [[0, 17]]}",18,87,ytvos,train
c71f30d7b6,"{'1': [[0, 35]]}",36,180,ytvos,train
c95cd17749,"{'1': [[0, 35]]}",36,180,ytvos,train
c279e641ee,"{'1': [[2, 19]], '2': [[2, 19]]}",20,96,ytvos,train
c479ee052e,"{'1': [[3, 16], [24, 35]]}",36,180,ytvos,train
c557b69fbf,"{'1': [[0, 35]]}",36,180,ytvos,train
c593a3f7ab,"{'1': [[0, 18]]}",19,92,ytvos,train
c844f03dc7,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
c0847b521a,"{'1': [[11, 19]]}",20,96,ytvos,train
c3509e728d,"{'1': [[0, 19]], '2': [[0, 19]], '3': [[0, 19]]}",20,96,ytvos,train
c9734b451f,"{'2': [[0, 18]], '1': [[0, 18]], '3': [[17, 18]]}",19,92,ytvos,train
c9862d82dc,"{'1': [[0, 35]]}",36,180,ytvos,train
c45411dacb,"{'1': [[0, 18]]}",19,91,ytvos,train
c60897f093,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
c62188c536,{},20,96,ytvos,train
c69689f177,"{'1': [[0, 35]]}",36,180,ytvos,train
c89147e6e8,"{'1': [[0, 35]]}",36,180,ytvos,train
c4272227b0,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
c44676563f,"{'1': [[0, 31]]}",36,180,ytvos,train
ca4b99cbac,"{'1': [[0, 19]]}",20,96,ytvos,train
ca91c69e3b,"{'2': [[0, 9]], '1': [[0, 9]]}",15,71,ytvos,train
ca91e99105,"{'1': [[0, 9]]}",10,46,ytvos,train
cabba242c2,{},20,96,ytvos,train
cad5a656a9,"{'1': [[0, 35]]}",36,180,ytvos,train
cad673e375,"{'1': [[3, 35]]}",36,180,ytvos,train
cae7ef3184,"{'1': [[0, 35]]}",36,180,ytvos,train
caecf0a5db,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
cb3f22b0cf,"{'1': [[0, 19]]}",20,96,ytvos,train
cb15312003,"{'1': [[0, 15]]}",16,76,ytvos,train
cd4dc03dc0,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
cd47a23e31,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
cdd57027c2,"{'1': [[0, 19]]}",20,96,ytvos,train
ce1bc5743a,"{'1': [[0, 29]], '2': [[0, 29]], '3': [[0, 29]]}",30,150,ytvos,train
ce7dbeaa88,"{'1': [[0, 35]]}",36,180,ytvos,train
ce9b015a5e,"{'1': [[0, 35]]}",36,180,ytvos,train
ce49b1f474,"{'1': [[0, 35]]}",36,180,ytvos,train
ce6866aa19,"{'1': [[0, 23], [27, 35]]}",36,180,ytvos,train
ce25872021,"{'1': [[0, 19]]}",20,97,ytvos,train
cec3415361,"{'1': [[0, 29]]}",30,150,ytvos,train
cf4376a52d,"{'1': [[0, 6], [16, 35]], '2': [[0, 6], [16, 35]]}",36,180,ytvos,train
cfc2e50b9d,{},30,150,ytvos,train
cff8191891,"{'1': [[0, 9]]}",10,46,ytvos,train
d0acde820f,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
d2b026739a,"{'1': [[0, 29]]}",30,150,ytvos,train
d2ebe0890f,"{'1': [[0, 35]]}",36,180,ytvos,train
d3ae1c3f4c,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
d3b088e593,"{'1': [[0, 17]]}",18,87,ytvos,train
d3e6e05e16,"{'1': [[11, 29]]}",30,150,ytvos,train
d4a607ad81,"{'1': [[0, 18]]}",19,92,ytvos,train
d4b063c7db,"{'1': [[0, 28]]}",29,144,ytvos,train
d4da13e9ba,"{'1': [[0, 19]], '2': [[7, 10]]}",20,96,ytvos,train
d6ac0e065c,"{'1': [[0, 18]]}",19,91,ytvos,train
d6eed152c4,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
d6faaaf726,"{'1': [[0, 19]]}",20,96,ytvos,train
d7bb6b37a7,"{'1': [[0, 29]]}",30,150,ytvos,train
d7fbf545b3,"{'1': [[0, 19]]}",20,96,ytvos,train
d9edc82650,"{'1': [[0, 29]]}",30,150,ytvos,train
d26f6ed9b0,{},30,150,ytvos,train
d36d16358e,"{'1': [[0, 15]]}",16,76,ytvos,train
d42c0ff975,"{'1': [[0, 3], [11, 35]]}",36,180,ytvos,train
d55f247a45,"{'1': [[6, 29]]}",30,150,ytvos,train
d65a7bae86,"{'1': [[0, 29]], '2': [[0, 29]]}",30,150,ytvos,train
d73a60a244,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
d88a403092,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
d90e3cf281,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
d99d770820,"{'1': [[0, 35]]}",36,180,ytvos,train
d154e3388e,"{'1': [[0, 19]], '2': [[0, 19]]}",20,96,ytvos,train
d182c4483a,"{'1': [[0, 35]], '2': [[0, 35]]}",36,180,ytvos,train
d292a50c7f,"{'1': [[0, 9]]}",10,46,ytvos,train
d295ea2dc7,{},20,96,ytvos,train
d355e634ef,"{'1': [[0, 17]], '2': [[0, 17]]}",18,86,ytvos,train
d535bb1b97,"{'1': [[0, 18]], '2': [[0, 18]]}",19,92,ytvos,train
d664c89912,"{'1': [[0, 29]]}",30,150,ytvos,train
d708e1350c,"{'1': [[0, 35]]}",36,180,ytvos,train
d763bd6d96,"{'1': [[0, 9], [14, 35]]}",36,180,ytvos,train
d991cb471d,"{'1': [[0, 35]]}",36,180,ytvos,train
d01608c2a5,"{'1': [[0, 19]]}",20,96,ytvos,train
d3069da8bb,"{'1': [[0, 18]]}",19,91,ytvos,train
d04258ca14,"{'1': [[0, 29]], '2': [[0, 29]], '3': [[3, 29]]}",30,150,ytvos,train
d6917db4be,"{'1': [[0, 6], [10, 15]]}",20,96,ytvos,train
d7135cf104,"{'1': [[0, 35]]}",36,180,ytvos,train
d74875ea7c,"{'1': [[0, 19]]}",20,96,ytvos,train
d689658f06,"{'1': [[0, 35]]}",36,180,ytvos,train
d5695544d8,"{'1': [[0, 35]]}",36,180,ytvos,train
d9010348a1,"{'1': [[6, 13]]}",14,66,ytvos,train
da0e944cc4,"{'1': [[0, 35]]}",36,180,ytvos,train
da5d78b9d1,"{'1': [[0, 35]]}",36,180,ytvos,train
da28d94ff4,{},20,96,ytvos,train
dad980385d,"{'1': [[0, 19]]}",20,96,ytvos,train
daebc12b77,"{'1': [[0, 5], [9, 12], [20, 25]]}",30,150,ytvos,train
db7f267c3f,"{'1': [[0, 35]]}",36,180,ytvos,train
db0968cdd3,"{'1': [[0, 29]]}",30,150,ytvos,train
db59282ace,"{'1': [[0, 18]], '2': [[0, 18]]}",19,91,ytvos,train
dbf4a5b32b,"{'1': [[0, 4], [11, 14], [20, 35]]}",36,180,ytvos,train
dbfc417d28,"{'1': [[0, 35]]}",36,180,ytvos,train
dc32a44804,"{'1': [[0, 35]]}",36,180,ytvos,train
dc34b35e30,"{'1': [[0, 29]]}",30,150,ytvos,train
